event,stadium,city,event_date,olympic,name,country,born,gender,place,age
100 metres,"Olympic Stadium, Roma","Roma, Italy",1960-09-01,1960 Roma Summer Games,Armin Hary,GER,1937-03-22,Male,1,23.46301369863014
100 metres,"Olympic Stadium, Amsterdam","Amsterdam, Netherlands",1928-07-30,1928 Amsterdam Summer Games,Jack London,GBR,1905-01-13,Male,2,23.55890410958904
100 metres,"University Olympic Stadium, Ciudad de México","Ciudad de México, Mexico",1968-10-14,1968 Ciudad de México Summer Games,Charlie Greene,USA,1945-03-21,Male,3,23.583561643835615
100 metres,"Catalan Cross, Boulogne Forest, Paris","Paris, France",1900-07-14,1900 Paris Summer Games,Stan Rowley,AUS,1876-09-11,Male,3,23.852054794520548
100 metres,"Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1932-08-01,1932 Los Angeles Summer Games,Eddie Tolan,USA,1908-09-29,Male,1,23.854794520547944
100 metres,"Colombes Olympic Stadium, Colombes","Paris, France",1924-07-07,1924 Paris Summer Games,Arthur Porritt,NZL,1900-08-10,Male,3,23.923287671232877
100 metres,"Olympic Stadium, Olympic Park, München","München, West Germany",1972-09-01,1972 München Summer Games,Robert Taylor,USA,1948-09-14,Male,2,23.980821917808218
100 metres,"Stockholm Olympic Stadium, Stockholm","Stockholm, Sweden",1912-07-07,1912 Stockholm Summer Games,Alvah Meyer,USA,1888-07-18,Male,2,23.983561643835618
100 metres,"Francis Field, Washington University, St. Louis","St. Louis, United States",1904-09-03,1904 St. Louis Summer Games,Archie Hahn,USA,1880-09-14,Male,1,23.983561643835618
100 metres,"National Stadium, Shinjuku, Tokyo","Tokyo, Japan",1964-10-15,1964 Tokyo Summer Games,Harry Jerome,CAN,1940-09-30,Male,3,24.057534246575344
100 metres,"White City Stadium, London","London, Great Britain",1908-07-22,1908 London Summer Games,James Rector,USA,1884-06-22,Male,2,24.095890410958905
100 metres,"Olympic Stadium, Roma","Roma, Italy",1960-09-01,1960 Roma Summer Games,Dave Sime,USA,1936-07-25,Male,2,24.12054794520548
100 metres,"Catalan Cross, Boulogne Forest, Paris","Paris, France",1900-07-14,1900 Paris Summer Games,Walter Tewksbury,USA,1876-03-21,Male,2,24.328767123287673
100 metres,"Olympic Stadium, Olympic Park, Sydney, New South Wales","Sydney, Australia",2000-09-23,2000 Sydney Summer Games,Obadele Thompson,BAR,1976-03-30,Male,3,24.5013698630137
100 metres,"Colombes Olympic Stadium, Colombes","Paris, France",1924-07-07,1924 Paris Summer Games,Harold Abrahams,GBR,1899-12-15,Male,1,24.575342465753426
100 metres,"Panathenaic Stadium, Athina","Athina, Greece",1896-04-10,1896 Athina Summer Games,Fritz Hofmann,GER,1871-06-19,Male,2,24.827397260273973
100 metres,"Panathenaic Stadium, Athina","Athina, Greece",1896-04-10,1896 Athina Summer Games,Alajos Szokoly,HUN,1871-06-19,Male,3,24.827397260273973
100 metres,"Montjuïc Olympic Stadium, Barcelona","Barcelona, Spain",1992-08-01,1992 Barcelona Summer Games,Frankie Fredericks,NAM,1967-10-02,Male,2,24.84931506849315
100 metres,"Grand Arena, Central Lenin Stadium Area, Moskva","Moskva, Soviet Union",1980-07-25,1980 Moskva Summer Games,Silvio Leonard,CUB,1955-09-20,Male,2,24.863013698630137
100 metres,"Olympic Stadium, Antwerpen","Antwerpen, Belgium",1920-08-16,1920 Antwerpen Summer Games,Morris Kirksey,USA,1895-09-13,Male,2,24.93972602739726
100 metres,"Empire Stadium, Wembley, London","London, Great Britain",1948-07-31,1948 London Summer Games,Harrison Dillard,USA,1923-07-08,Male,1,25.08219178082192
100 metres,"Melbourne Cricket Ground, Melbourne, Victoria","Melbourne, Australia",1956-11-24,1956 Melbourne Summer Games,Thane Baker,USA,1931-10-04,Male,2,25.15890410958904
100 metres,"Melbourne Cricket Ground, Melbourne, Victoria","Melbourne, Australia",1956-11-24,1956 Melbourne Summer Games,Hec Hogan,AUS,1931-07-15,Male,3,25.38082191780822
100 metres,"Olympic Stadium, Olympic Park, Montréal, Québec","Montréal, Canada",1976-07-24,1976 Montréal Summer Games,Don Quarrie,JAM,1951-02-25,Male,2,25.427397260273974
100 metres,"Grand Arena, Central Lenin Stadium Area, Moskva","Moskva, Soviet Union",1980-07-25,1980 Moskva Summer Games,Petar Petrov,BUL,1955-02-17,Male,3,25.45205479452055
100 metres,"Panathenaic Stadium, Athina","Athina, Greece",1906-04-27,1906 Athina Summer Games,Archie Hahn,USA,1880-09-14,Male,1,25.63013698630137
100 metres,"Olympic Stadium, Athens Olympic Sports Complex Spiros Loues, Maroussi","Athina, Greece",2004-08-22,2004 Athina Summer Games,Francis Obikwelu,NGR,1978-11-22,Male,2,25.767123287671232
100 metres,"Olympic Stadium, Olympic Park, München","München, West Germany",1972-09-01,1972 München Summer Games,Lennox Miller,JAM,1946-10-08,Male,3,25.91780821917808
100 metres,"Olympic Stadium, Olympic Park, Montréal, Québec","Montréal, Canada",1976-07-24,1976 Montréal Summer Games,Hasely Crawford,TTO,1950-08-16,Male,1,25.956164383561642
100 metres,"Olympic Stadium, Olympic Park, Stratford, London","London, Great Britain",2012-08-05,2012 London Summer Games,Usain Bolt,JAM,1986-08-21,Male,1,25.975342465753425
100 metres,"Empire Stadium, Wembley, London","London, Great Britain",1948-07-31,1948 London Summer Games,Lloyd LaBeach,PAN,1922-06-28,Male,3,26.10958904109589
